seed_id,seed_title,direction,found_title,found_abstract,found_doi,found_year,found_venue,in_db_already,venue_rank_note,ref_source,kw_g1,kw_g2,kw_g3,kw_groups,picos_decision,reason
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,An Empirical Evaluation of How Virtual Hand Visibility Affects Near-Field Size Perception and Reporting of Tangible Objects in Virtual Reality,"In immersive virtual environments (IVEs), accurate size perception is critical, especially in training simulations designed to mimic real-world tasks, such as, nuclear power plant control room or medical procedures. These simulations have dials or instruments of varying sizes. Visual information of the objects alone, often fails to capture subtle size differences in virtual reality (VR). However, integrating haptic and hand-avatars may potentially improve accuracy and performance. This improvement could be especially beneficial for real-world scenarios where hand(s) are intermittently visible or obscured. To investigate how this intermittent presence or absence of body-scaled hand-avatars affects size perception when integrated with haptic information, we conducted 2x2 mixed-factorial experiment design using a near-field, size-estimation task in VR. The experiment conditions compared size estimations with or without virtual hand visibility in the perception and reporting phases. The task involved 16 graspable objects of varying sizes and randomly repeated 3 times across 48 trials per participant (total 80 participants). We employed Linear Mixed Models (LMMs) analysis to objective measures: perceived size, residual error and proportional errors. Results revealed that as the tangible-graspable size increases, overestimation reduces if the hand-avatars are visible in the reporting phase. Also, overestimation reduces as the number of trials increases, if the hand-avatars are visible in the reporting phase. Thus, the presence of hand-avatars facilitated perceptual calibration. This novel study, with different combinations of hand-avatar visibility, taking perception and reporting of size as two separate phases, could open future research directions in more complex scenarios for refined integration of sensory modalities and consequently enhance real-world application performance.",10.1109/tvcg.2025.3616829,2025,IEEE Transactions on Visualization and Computer Graphics,Y,SJR Q1,S2,Y,Y,Y,3,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Comparing Absolute Size Perception in Optical See-Through Augmented Reality and Real World Viewing Using Verbal and Physical Judgments,"This empirical evaluation aimed to investigate how size perception differs between OST AR and the real world, focusing on two judgment methods: verbal reports and physical judgments. Using a within-subjects experimental design, participants viewed target objects in different sizes in both AR and real-world conditions and estimated their sizes using verbal and physical judgment methods across multiple trials. The study addressed two key hypotheses: (H1) that size perception in AR would differ from the Real World, potentially due to rendering limitations in OST-HMDs, and (H2) that verbal reports and physical judgments would yield different levels of accuracy due to distinct cognitive and perceptual processes involved in each method. Our findings supported these hypotheses, revealing key differences in size perception between the two judgment methods and viewing conditions. Participants consistently underestimated object sizes when using verbal reports in both AR and real-world conditions, with more pronounced errors in AR. In contrast, physical judgments yielded more accurate size estimates under both viewing conditions. Notably, the accuracy of verbal reports decreased as target sizes increased, a trend that was particularly evident in AR. These results underscore the perceptual challenges associated with verbal size judgments in AR and their potential limitations in applications requiring precise size estimations. By highlighting the differences in accuracy and consistency between verbal and physical judgment methods, this study contributes to a deeper understanding of size perception in OST AR and real-world contexts.",10.1109/vr59515.2025.00055,2025,IEEE Conference on Virtual Reality and 3D User Interfaces,N,CORE A*,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Disturbances in Body-Based Mental and Motor Imagery in Anorexia and Bulimia Nervosa – A Systematic Review of Experimental Studies,"Imagining one’s body is crucial for how we perceive our appearance (i.e. imagining how we might appear to others), for imagining movement (motor imagery), navigation, and self-recognition. Mental body representations can be categorized into a perceptual component, known as the body image, and an action-related component, referred to as the body schema. A disturbed body image, involving altered perceptions and attitudes towards appearance, is a diagnostic feature of Anorexia Nervosa (AN) and Bulimia Nervosa (BN). The review identifies experimental paradigms used to measure body-based mental and motor imagery in individuals with AN and BN, investigating body representation beyond perceptual size and shape distortions compared to healthy controls. Three databases (PsycINFO, PubMed, and Embase) were searched, and 19 articles were included. Four characteristics of mental imagery were found to be distorted in individuals with AN and BN: body-scaling, imagined action, mental rotation, and spatial reference frame processing. Fourteen tasks were identified to assess these distortions in body-based mental imagery. This review highlights that altered body representations in AN and BN extend beyond conscious size and shape perceptions to include unconscious representations for movement and action planning. Future research should examine how body-based mental imagery sustains psychopathology in AN and BN.",10.1177/20438087251314088,2025,Journal of Experimental Psychopathology,N,SJR Q2,S2,N,Y,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Evaluating Transitive Perceptual Effects Between Virtual Entities in Outdoor Augmented Reality,"Augmented reality (AR) head-mounted displays (HMDs) provide users with a view in which digital content is blended spatially with the outside world. However, one critical issue faced with such display technologies is misperception, i.e., perceptions of computer-generated content that differs from our human perception of other real-world objects or entities. Misperception can lead to mistrust in these systems and negative impacts in a variety of application fields. Although there is a considerable amount of research investigating either size, distance, or speed misperception in AR, far less is known about the relationships between these aspects. In this paper, we present an outdoor AR experiment (N = 20) using a HoloLens 2 HMD. Participants estimated size, distance, and speed of Familiar and Unfamiliar outdoor animals at three distances (30, 60, 90 meters). To investigate whether providing information about one aspect may influence another, we divided our experiment into three phases. In Phase I, participants estimated the three aspects without any provided information. In Phase II, participants were given accurate size information, then asked to estimate distance and speed. In Phase III, participants were given accurate distance and size information, then asked to estimate speed. Our results show that estimates of speed in particular of the Unfamiliar animals benefited from provided size information, while speed estimates of all animals benefited from provided distance information. We found no support for the assumption that distance estimates benefited from provided size information.",10.1109/vr58804.2024.00082,2024,IEEE Conference on Virtual Reality and 3D User Interfaces,N,CORE A*,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Performance and User Experience Studies of HILLES: Home-based Immersive Lower Limb Exergame System,"Head-Mounted Devices (HMDs) have become popular for home-based immersive gaming. However, using lower limb motion in the immersive virtual environment is still restricted. This work introduces an RGB-D camera-based motion capture system alongside a standalone HMD for Home-based Immersive Lower Limbs Exergame Systems (HILLES) in a seated pose. With the advance of neural network models, camera-based 3D body tracking accuracy is increasing. Nevertheless, the high demand for computing resources on model inference may compromise the game engine's performance. Accordingly, HILLES applies a distributed architecture to leverage the resources effectively. The system performances, such as frames per second and latency, are compared with a centralized system. For an immersive exergame, a pet walking around could raise safety issues. Hence, we also showcase that the camera system can provide an additional safety feature by combining an object detection model. Besides, another challenge in games focusing on lower limb interactions is the safe reachability of different virtual objects from a seated pose. Accordingly, in the user study, a stomping game with two reachability enhancements, including leg extension and seated navigation, is implemented based on the HILLES to evaluate and explore the gaming experience. The result shows that the system motivates the leg exercise, and the added enhancements may adjust the game difficulty. However, the enhancements may also distract users from focusing on leg exertion. The derived insight could benefit the lower limb exergame design in the future.",10.1145/3587819.3590985,2023,ACM SIGMM Conference on Multimedia Systems,Y,未照合,S2,Y,Y,N,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Comparing the Effects of Visual Realism on Size Perception in VR versus Real World Viewing through Physical and Verbal Judgments,"Virtual Reality (VR) is well-known for its use in interdisciplinary applications and research. The visual representation of these applications could vary depending in their purpose and hardware limitation, and in those situations could require an accurate perception of size for task performance. However, the relationship between size perception and visual realism in VR has not yet been explored. In this contribution, we conducted an empirical evaluation using a between-subject design over four conditions of visual realism, namely Realistic, Local Lighting, Cartoon, and Sketch on size perception of target objects in the same virtual environment. Additionally, we gathered participants' size estimates in the real world via a within-subject session. We measured size perception using concurrent verbal reports and physical judgments. Our result showed that although participants' size perception was accurate in the realistic condition, surprisingly they could still tune into the invariant but meaningful information in the environment to accurately estimate the size of targets in the non-photorealistic conditions as well. We additionally found that size estimates in verbal and physical responses were generally different in real world and VR viewing and were moderated by trial presentation over time and target object widths.",10.1109/tvcg.2023.3247109,2023,IEEE Transactions on Visualization and Computer Graphics,N,SJR Q1,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Perceiving distance in virtual reality: theoretical insights from contemporary technologies,"Decades of research have shown that absolute egocentric distance is underestimated in virtual environments (VEs) when compared with the real world. This finding has implications on the use of VEs for applications that require an accurate sense of absolute scale. Fortunately, this underperception of scale can be attenuated by several factors, making perception more similar to (but still not the same as) that of the real world. Here, we examine these factors as two categories: (i) experience inherent to the observer, and (ii) characteristics inherent to the display technology. We analyse how these factors influence the sources of information for absolute distance perception with the goal of understanding how the scale of virtual spaces is calibrated. We identify six types of cues that change with these approaches, contributing both to a theoretical understanding of depth perception in VEs and a call for future research that can benefit from changing technologies. This article is part of the theme issue ‘New approaches to 3D vision’.",10.1098/rstb.2021.0456,2022,Philosophical Transactions of the Royal Society of London. Biological Sciences,N,未照合,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Studying the Role of Self and External Touch in the Appropriation of Dysmorphic Hands,"In Virtual Reality, self-touch (ST) stimulation is a promising method of sense of body ownership (SoBO) induction that does not require an external effector. However, its applicability to dysmorphic bodies has not been explored yet and remains uncertain due to the requirement to provide incongruent visuomotor sensations. In this, paper, we studied the effect of ST stimulation on dysmorphic hands via haptic retargeting, as compared to a classical external-touch (ET) stimulation, on the SoBO. Our results indicate that ST can induce similar levels of dysmorphic SoBO than ET stimulation, but that some types of dysmorphism might decrease the ST stimulation accuracy due to the nature of the re-targeting that they induce.",10.1109/ismar55827.2022.00024,2022,International Symposium on Mixed and Augmented Reality,N,未照合,S2,Y,Y,N,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,The Body Scaling Effect and Its Impact on Physics Plausibility,"In this study we investigated the effect of body ownership illusion-based body scaling on physics plausibility in Virtual Reality (VR). Our interest was in examining whether body ownership illusion-based body scaling could affect the plausibility of rigid body dynamics similarly to altering VR users' scale by manipulating their virtual interpupillary distance and viewpoint height. The procedure involved the conceptual replication of two previous studies. We investigated physics plausibility with 40 participants under two conditions. In our synchronous condition, we used visuo-tactile stimuli to elicit a body ownership illusion of inhabiting an invisible doll-sized body on participants reclining on an exam table. Our asynchronous condition was otherwise similar, but the visuo-tactile stimuli were provided asynchronously to prevent the onset of the body ownership illusion. We were interested in whether the correct approximation of physics (true physics) or physics that are incorrect and appearing as if the environment is five times larger instead (movie physics) appear more realistic to participants as a function of body scale. We found that movie physics did appear more realistic to participants under the body ownership illusion condition. However, our hypothesis that true physics would appear more realistic in the asynchronous condition was unsupported. Our exploratory analyses revealed that movie physics were perceived as plausible under both conditions. Moreover, we were not able to replicate previous findings from literature concerning object size estimations while inhabiting a small invisible body. However, we found a significant opposite effect regarding size estimations; the object sizes were on average underestimated during the synchronous visuo-tactile condition when compared to the asynchronous condition. We discuss these unexpected findings and the potential reasons for the results, and suggest avenues for future research.",10.3389/frvir.2022.869603,2022,Frontiers in Virtual Reality,Y,SJR Q1,S2,Y,Y,Y,3,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Obstacles Affect Perceptions of Egocentric Distances in Virtual Environments,"Distance perception in humans can be affected by oculomotor and optical cues and a person’s action capability in a given environment, known as action-specific effects. For example, a previous study has demonstrated that egocentric distance estimation to a target is affected by the width of a transparent barrier placed in the intermediate space between a participant and a target. However, the characteristics of a barrier’s width that affect distance perception remain unknown. Therefore, we investigated whether visual and tactile inputs and actions related to a barrier affect distance estimation to a target behind the barrier. The results confirmed previous studies by demonstrating that visual and tactile presentations of the barrier’s width affected distance estimation to the target. However, this effect of the barrier’s width was not observed when the barrier was touchable but invisible nor when the barrier was visible but penetrable. These findings indicate the complexity of action-specific effects and the difficulty of identifying necessary information for inducing these effects.",10.3389/frvir.2021.726114,2021,Frontiers in Virtual Reality,N,SJR Q1,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Using an Embodiment Technique in Psychological Experiments with Virtual Reality: A Scoping Review of the Embodiment Configurations and their Scientific Purpose,"
 
 In recent years, psychological studies with virtual reality have increasingly involved some eEmbodiment tTechnique (ET) in which the users’ bodily movements are mapped on the movements of a digital body. However, this domain is very fragmented across disciplines and plagued by terminological ambiguity.
 
 
 
 This paper provides a scoping review of the psychological studies deploying some ET in VR.
 
 
 
 A total of 742 papers were retrieved from Scopus and the ACM Digital library using “embodiment” and “virtual reality” as keywords; after screening them, 79 were eventually retained. From each study, the following information was extracted: (a) the content of the virtual scenario, (b) the extent of the embodiment, and (c) the scientific purpose and measure of the psychological experience of embodiment. This information is summarized and discussed, as well as reported in tabular format for each study.
 
 
 
 We first distinguished ET from other types of digital embodiment. Then we summarized the ET solutions in terms of the completeness of the digital body assigned to the user and of whether the digital body's appearance resembled the users' real one. Finally, we report the purpose and the means of measuring the users’sense of embodiment.
 
 
 
 This review maps the variety of embodiment configurations and the scientific purpose they serve. It offers a background against which other studies planning to use this technique can position their own solution and highlight some underrepresented lines of research that are worth exploring.
",10.2174/1874350102114010198,2021,Open Psychology Journal,N,SJR Q3,S2,Y,Y,N,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Use of a real-life practical context changes the relationship between implicit body representations and real body measurements,"A mismatch exists between people’s mental representations of their own body and their real body measurements, which may impact general well-being and health. We investigated whether this mismatch is reduced when contextualizing body size estimation in a real-life scenario. Using a reverse correlation paradigm, we constructed unbiased, data-driven visual depictions of participants’ implicit body representations. Across three conditions—own abstract, ideal, and own concrete body—participants selected the body that looked most like their own, like the body they would like to have, or like the body they would use for online shopping. In the own concrete condition only, we found a significant correlation between perceived and real hip width, suggesting that the perceived/real body match only exists when body size estimation takes place in a practical context, although the negative correlation indicated inaccurate estimation. Further, participants who underestimated their body size or who had more negative attitudes towards their body weight showed a positive correlation between perceived and real body size in the own abstract condition. Finally, our results indicated that different body areas were implicated in the different conditions. These findings suggest that implicit body representations depend on situational and individual differences, which has clinical and practical implications.",10.1038/s41598-021-93865-7,2021,Scientific Reports,N,SJR Q1,S2,N,Y,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,Empirically Evaluating the Effects of Perceptual Information Channels on the Size Perception of Tangibles in Near-Field Virtual Reality,"Immersive Virtual Environments (IVEs) incorporating tangibles are becoming more accessible. The success of applications combining 3D printed tangibles and VR often depends on how accurately size is perceived. Research has shown that visuo-haptic perceptual information is important in the perception of size. However, it is unclear how these sensory-perceptual channels are affected by immersive virtual environments that incorporate tangible objects. Towards understanding the effects of different sensory information channels in the near field size perception of tangibles of graspable sizes in IVEs, we conducted a between-subjects study evaluating the accuracy of size perception across three experimental conditions (Vision-only, Haptics-only, Vision and Haptics). We found that overall, participants consistently over-estimated the size of the dials regardless of the type of perceptual information that was presented. Participants in the haptics only condition overestimated diameters to a larger degree as compared to other conditions. Participants were most accurate in the vision only condition and least accurate in the haptics only condition. Our results also revealed that increased efficiency in reporting size over time was most pronounced in the visuo- haptic condition.",10.1109/vr50410.2021.00086,2021,IEEE Conference on Virtual Reality and 3D User Interfaces,N,CORE A*,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,The Plausibility Paradox for Resized Users in Virtual Environments,"This paper identifies and confirms a perceptual phenomenon: when users interact with simulated objects in a virtual environment where the users’ scale deviates greatly from normal, there is a mismatch between the object physics they consider realistic and the object physics that would be correct at that scale. We report the findings of two studies investigating the relationship between perceived realism and a physically accurate approximation of reality in a virtual reality experience in which the user has been scaled by a factor of ten. Study 1 investigated perception of physics when scaled-down by a factor of ten, whereas Study 2 focused on enlargement by a similar amount. Studies were carried out as within-subjects experiments in which a total of 84 subjects performed simple interaction tasks with objects under two different physics simulation conditions. In the true physics condition, the objects, when dropped and thrown, behaved accurately according to the physics that would be correct at that either reduced or enlarged scale in the real world. In the movie physics condition, the objects behaved in a similar manner as they would if no scaling of the user had occurred. We found that a significant majority of the users considered the movie physics condition to be the more realistic one. However, at enlarged scale, many users considered true physics to match their expectations even if they ultimately believed movie physics to be the realistic condition. We argue that our findings have implications for many virtual reality and telepresence applications involving operation with simulated or physical objects in abnormal and especially small scales.",10.3389/frvir.2021.655744,2021,Frontiers in Virtual Reality,N,SJR Q1,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,HandMorph: a Passive Exoskeleton that Miniaturizes Grasp,"We engineered an exoskeleton, which we call HandMorph, that approximates the experience of having a smaller grasping range. It uses mechanical links to transmit motion from the wearer's fingers to a smaller hand with five anatomically correct fingers. The result is that HandMorph miniaturizes a wearer's grasping range while transmitting haptic feedback. Unlike other size-illusions based on virtual reality, HandMorph achieves this in the user's real environment, preserving the user's physical and social contexts. As such, our device can be integrated into the user's workflow, e.g., to allow product designers to momentarily change their grasping range into that of a child while evaluating a toy prototype. In our first user study, we found that participants perceived objects as larger when wearing HandMorph, which suggests that their size perception was successfully transformed. In our second user study, we assessed the experience of using HandMorph in designing a simple toy trumpet for children. We found that participants felt more confident in their toy design when using HandMorph to validate its ergonomics.",10.1145/3379337.3415875,2020,ACM Symposium on User Interface Software and Technology,Y,CORE A*,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,"Perceived match between own and observed models’ bodies: influence of face, viewpoints, and body size","People are generally unable to accurately determine their own body measurements and to translate this knowledge to identifying a model/avatar that best represents their own body. This inability has not only been related to health problems (e.g. anorexia nervosa), but has important practical implications as well (e.g. online retail). Here we aimed to investigate the influence of three basic visual features—face presence, amount of viewpoints, and observed model size—on the perceived match between own and observed models’ bodies and on attitudes towards these models. Models were real-life models (Experiment 1) or avatar models based on participants’ own bodies (Experiment 2). Results in both experiments showed a strong effect of model size, irrespective of participants’ own body measurements. When models were randomly presented one by one, participants gave significantly higher ratings to smaller- compared to bigger-sized models. The reverse was true, however, when participants observed and compared models freely, suggesting that the mode of presentation affected participants’ judgments. Limited evidence was found for an effect of facial presence or amount of viewpoints. These results add evidence to research on visual features affecting the ability to match observed bodies with own body image, which has biological, clinical, and practical implications.",10.1038/s41598-020-70856-8,2020,Scientific Reports,Y,SJR Q1,S2,N,Y,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,The relationship between the body and the environment in the virtual world: The interpupillary distance affects the body size perception,"Previous research suggests that the size of one’s body is used as a metric to scale the external world. On the other hand, the influence of information from the external world on the perception of body size is unclear. It has been suggested that increased inter-pupillary distance (IPD) leads people to perceive the external world as smaller than it actually is. The present study investigated the effect of the IPD on body size perception, and the relationship between the perceived scale of the body and the external world when the IPD is manipulated. To this end, in a virtual environment, we manipulated the IPD as well as the size and presence of participants’ hands, while participant’s eye height was increased vertically. Results showed that, when participants’ eye height was increased and their hands were enlarged, people with a fixed IPD perceived the size of their body to be large (like a giant) while the external world was perceived to be changed minimally. Alternatively, people with increased IPD perceived that the external world as having shrank, whereas their perception of their body size changed little. However, when a viewers’ virtual hands were not shown, the IPD did not affect the individual’s percept of body size, although the IPD did affect one’s perception of the external world. These results suggest that, when the ratio of the size between one’s body and the external world are explicit, the perceived size of one’s body is affected by the IPD or perceived scale of the external world that is affected by the IPD.",10.1371/journal.pone.0232290,2020,PLoS ONE,Y,SJR Q1,S2,Y,Y,Y,3,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,The Plausibility Paradox For Scaled-Down Users In Virtual Environments,"This paper identifies a new phenomenon: when users interact with simulated objects in a virtual environment where the user is much smaller than usual, there is a mismatch between the object physics that they expect and the object physics that would be correct at that scale. We report the findings of our study investigating the relationship between perceived realism and a physically accurate approximation of reality in a virtual reality experience in which the user has been scaled down by a factor of ten. We conducted a within-subjects experiment in which 44 subjects performed a simple interaction task with objects under two different physics simulation conditions. In one condition, the objects, when dropped and thrown, behaved accurately according to the physics that would be correct at that reduced scale in the real world, our true physics condition. In the other condition, the movie physics condition, the objects behaved in a similar manner as they would if no scaling of the user had occurred. We found that a significant majority of the users considered the latter condition to be the more realistic one. We argue that our findings have implications for many virtual reality and telepresence applications involving operation with simulated or physical objects in small scales.",10.1109/vr46266.2020.1580974317169,2019,IEEE Conference on Virtual Reality and 3D User Interfaces,N,CORE A*,S2,Y,N,Y,2,,
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,forward,The Plausibility Paradox in Small-Scale Virtual Environments,,,2019,arXiv.org,N,未照合,S2,Y,N,Y,2,,
