Raw venue string,Canonical name,CORE/SJR rank,Source of decision,Note
Healthcare (Switzerland),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'healthcare': [SJR:norm_title] Healthcare (Switzerland) | [SJR:norm_title] Healthcare / ranks: SJR Q1 | SJR Q2 / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
International Journal of Human-Computer Interaction,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'human computer interaction': [SJR:norm_title] International Journal of Human-Computer Interaction | [SJR:norm_title] Human-Computer Interaction / ranks: SJR Q1 | SJR Q2 / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
IEEE Transactions on Automation Science and Engineering,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee automation science engineering': [SJR:norm_title] IEEE Transactions on Automation Science and Engineering | [SJR:norm_title] IEEE International Conference on Automation Science and Engineering / ranks: SJR Q1 | SJR - / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Proceedings of the IEEE International Conference on Computer Vision,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee computer vision': [CORE:norm_title] IEEE International Conference on Computer Vision | [SJR:norm_title] Proceedings of the IEEE International Conference on Computer Vision / ranks: CORE A* | SJR - / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Proceedings of Machine Learning Research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'machine learning research': [SJR:norm_title] Journal of Machine Learning Research | [SJR:norm_title] Proceedings of Machine Learning Research | [SJR:norm_title] Transactions on Machine Learning Research / ranks: SJR Q1 | SJR - | SJR Q2 / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Medical Physics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'medical physics': [SJR:norm_title] Medical Physics | [SJR:norm_title] Journal of Medical Physics / ranks: SJR Q1 | SJR Q3 / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Neuroscience,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neuroscience': [SJR:norm_title] Journal of Neuroscience | [SJR:norm_title] Neuroscience | [SJR:norm_title] International Journal of Neuroscience / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
2018 24th international conference on pattern recognition (ICPR),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'pattern recognition': [CORE:norm_title] International Conference on Pattern Recognition | [SJR:norm_title] Pattern Recognition / ranks: CORE B | SJR Q1 / データ4件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Experimental Psychology (Russia),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'experimental psychology': [SJR:norm_title] Experimental Psychology | [SJR:norm_title] Experimental Psychology (Russia) / ranks: SJR Q1 | SJR Q3 / データ3件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Frontiers in Computer Science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'frontiers computer science': [SJR:norm_title] Frontiers of Computer Science | [SJR:norm_title] Frontiers in Computer Science / ranks: SJR Q1 | SJR Q2 / データ3件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Urology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'urology': [SJR:norm_title] Journal of Urology | [SJR:norm_title] International Journal of Urology | [SJR:norm_title] Urology / ranks: SJR Q1 | SJR Q2 | SJR Q2 / データ3件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Advanced Manufacturing Technology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'advanced manufacturing technology': [SJR:norm_title] International Journal of Advanced Manufacturing Technology | [SJR:norm_title] Journal of Advanced Manufacturing Technology / ranks: SJR Q1 | SJR Q4 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Chemical Physics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'chemical physics': [SJR:norm_title] Journal of Chemical Physics | [SJR:norm_title] Chemical Physics / ranks: SJR Q1 | SJR Q2 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Clinical Neurophysiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'clinical neurophysiology': [SJR:norm_title] Clinical Neurophysiology | [SJR:norm_title] Journal of Clinical Neurophysiology / ranks: SJR Q1 | SJR Q3 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Cognitive Neuroscience,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'cognitive neuroscience': [SJR:norm_title] Journal of Cognitive Neuroscience | [SJR:norm_title] Cognitive Neuroscience / ranks: SJR Q1 | SJR Q4 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Environmental research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'environmental research': [SJR:norm_title] Environmental Research | [SJR:norm_title] International Journal of Environmental Research / ranks: SJR Q1 | SJR Q2 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Heart,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'heart': [SJR:norm_title] Heart | [SJR:norm_title] Heart International / ranks: SJR Q1 | SJR Q2 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
IEEE Transactions on Industrial Electronics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee industrial electronics': [SJR:norm_title] IEEE Transactions on Industrial Electronics | [SJR:norm_title] IEEE International Symposium on Industrial Electronics / ranks: SJR Q1 | SJR - / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
IEEE Transactions on Industrial Informatics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee industrial informatics': [CORE:norm_title] IEEE International Conference on Industrial Informatics | [SJR:norm_title] IEEE Transactions on Industrial Informatics | [SJR:norm_title] IEEE International Conference on Industrial Informatics (INDIN) / ranks: CORE C | SJR Q1 | SJR - / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Interactions,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'interactions': [SJR:norm_title] International Interactions | [SJR:norm_title] Interactions | [SJR:norm_title] Interactions (N.Y.) / ranks: SJR Q1 | SJR Q2 | SJR Q4 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Neural Networks,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neural networks': [CORE:norm_title] International Symposium on Neural Networks | [SJR:norm_title] Neural Networks / ranks: CORE C | SJR Q1 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Palliative Medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'palliative medicine': [SJR:norm_title] Palliative Medicine | [SJR:norm_title] Journal of Palliative Medicine / ranks: SJR Q1 | SJR Q2 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Pediatrics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'pediatrics': [SJR:norm_title] Pediatrics | [SJR:norm_title] Journal of Pediatrics | [SJR:norm_title] International Journal of Pediatrics (United Kingdom) | [SJR:norm_title] Pediatrics International / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Poultry Science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'poultry science': [SJR:norm_title] Poultry Science | [SJR:norm_title] Journal of Poultry Science / ranks: SJR Q1 | SJR Q2 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Psychophysiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'psychophysiology': [SJR:norm_title] Psychophysiology | [SJR:norm_title] International Journal of Psychophysiology | [SJR:norm_title] Journal of Psychophysiology / ranks: SJR Q1 | SJR Q1 | SJR Q3 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
International Journal of Robotics Research,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'robotics research': [CORE:norm_title] International Symposium on Robotics Research | [SJR:norm_title] International Journal of Robotics Research / ranks: CORE C | SJR Q1 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Proceedings of Science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'science': [SJR:norm_title] Science | [SJR:norm_title] Proceedings of Science / ranks: SJR Q1 | SJR - / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Signal Processing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'signal processing': [SJR:norm_title] Signal Processing | [SJR:norm_title] Journal of Signal Processing / ranks: SJR Q1 | SJR Q4 / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Sustainability (Switzerland),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'sustainability': [SJR:norm_title] Sustainability (Switzerland) | [SJR:norm_title] Journal of Sustainability / ranks: SJR Q1 | SJR - / データ2件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Proceedings of the 56th Annual ACM Symposium on Theory of Computing,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'acm theory computing': [CORE:norm_title] ACM Symposium on Theory of Computing | [SJR:norm_title] Proceedings of the Annual ACM Symposium on Theory of Computing / ranks: CORE A* | SJR - / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
AI (Switzerland),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ai': [CORE:acronym] Australasian Joint Conference on Artificial Intelligence | [SJR:norm_title] AI (Switzerland) / ranks: CORE Australasian B | SJR Q1 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Behavioral Medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'behavioral medicine': [SJR:norm_title] International Journal of Behavioral Medicine | [SJR:norm_title] Journal of Behavioral Medicine | [SJR:norm_title] Behavioral Medicine / ranks: SJR Q2 | SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Child and Adolescent Mental Health,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'child adolescent mental health': [SJR:norm_title] Child and Adolescent Mental Health | [SJR:norm_title] Journal of Child and Adolescent Mental Health / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Cognitive Psychology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'cognitive psychology': [SJR:norm_title] Cognitive Psychology | [SJR:norm_title] Journal of Cognitive Psychology / ranks: SJR Q1 | SJR Q3 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Educational Psychology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'educational psychology': [SJR:norm_title] Journal of Educational Psychology | [SJR:norm_title] Educational Psychology | [SJR:norm_title] International Journal of Educational Psychology / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Proceedings of the International Conference on Electronic Commerce,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'electronic commerce': [CORE:norm_title] International Conference on Electronic Commerce | [SJR:norm_title] International Journal of Electronic Commerce / ranks: CORE C | SJR Q1 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
The Journal of endocrinology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'endocrinology': [SJR:norm_title] Journal of Endocrinology | [SJR:norm_title] Endocrinology (United States) | [SJR:norm_title] International Journal of Endocrinology / ranks: SJR Q1 | SJR Q2 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Environment International,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'environment': [SJR:norm_title] Environment International | [SJR:norm_title] Environment / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
European Journal of Neurology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'european neurology': [SJR:norm_title] European Journal of Neurology | [SJR:norm_title] European Neurology / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Family Practice,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'family practice': [SJR:norm_title] Family Practice | [SJR:norm_title] Journal of Family Practice / ranks: SJR Q1 | SJR Q3 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Hypertension,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'hypertension': [SJR:norm_title] Hypertension | [SJR:norm_title] Journal of Hypertension | [SJR:norm_title] International Journal of Hypertension / ranks: SJR Q1 | SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
2023 IEEE international conference on big data (BigData),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'ieee big data': [CORE:norm_title] IEEE International Conference on Big Data | [SJR:norm_title] IEEE Transactions on Big Data / ranks: CORE B | SJR Q1 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Information Fusion,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'information fusion': [CORE:norm_title] International Conference on Information Fusion | [SJR:norm_title] Information Fusion / ranks: CORE C | SJR Q1 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Insect Science,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'insect science': [SJR:norm_title] Insect Science | [SJR:norm_title] Journal of Insect Science / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Integrative Medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'integrative medicine': [SJR:norm_title] Journal of Integrative Medicine | [SJR:norm_title] Integrative Medicine / ranks: SJR Q1 | SJR Q3 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Internal Medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'internal medicine': [SJR:norm_title] Journal of Internal Medicine | [SJR:norm_title] Internal Medicine / ranks: SJR Q1 | SJR Q3 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Landscape Ecology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'landscape ecology': [SJR:norm_title] Landscape Ecology | [SJR:norm_title] Journal of Landscape Ecology (Czech Republic) | [SJR:norm_title] Journal of Landscape Ecology / ranks: SJR Q1 | SJR Q2 | SJR Q4 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
International Journal of Legal Medicine,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'legal medicine': [SJR:norm_title] International Journal of Legal Medicine | [SJR:norm_title] Legal Medicine | [SJR:norm_title] Journal of Legal Medicine / ranks: SJR Q1 | SJR Q2 | SJR Q3 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
International Journal of Medical Sciences,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'medical sciences': [SJR:norm_title] Medical sciences | [SJR:norm_title] International Journal of Medical Sciences | [SJR:norm_title] Journal of Medical Sciences (Taiwan) | [SJR:norm_title] Journal of Medical Sciences (Peshawar) / ranks: SJR Q1 | SJR Q1 | SJR Q4 | SJR Q4 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Metaverse,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'metaverse': [SJR:norm_title] Journal of Metaverse | [SJR:norm_title] Metaverse / ranks: SJR Q1 | SJR Q4 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Nephrology Dialysis Transplantation,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,"衝突キー'nephrology dialysis transplantation': [SJR:norm_title] Nephrology Dialysis Transplantation | [SJR:norm_title] Nephrology, Dialysis and Transplantation / ranks: SJR Q1 | SJR Q4 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)"
Neuroradiology,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'neuroradiology': [SJR:norm_title] Journal of Neuroradiology | [SJR:norm_title] Neuroradiology / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Nursing Management,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'nursing management': [SJR:norm_title] Journal of Nursing Management | [SJR:norm_title] Nursing Management / ranks: SJR Q1 | SJR Q3 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Orthopaedics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'orthopaedics': [SJR:norm_title] International Orthopaedics | [SJR:norm_title] Journal of Orthopaedics / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Otolaryngology - Head and Neck Surgery (United States),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'otolaryngology head neck surgery': [SJR:norm_title] Otolaryngology - Head and Neck Surgery | [SJR:norm_title] Journal of Otolaryngology - Head and Neck Surgery | [SJR:norm_title] Otolaryngology - Head and Neck Surgery (Japan) / ranks: SJR Q1 | SJR Q1 | SJR Q4 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Pediatric Surgery International,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'pediatric surgery': [SJR:norm_title] Journal of Pediatric Surgery | [SJR:norm_title] Pediatric Surgery International / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Psychogeriatrics,(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'psychogeriatrics': [SJR:norm_title] International Psychogeriatrics | [SJR:norm_title] Psychogeriatrics / ranks: SJR Q1 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
Journal of Public Health (Germany),(要著者判断),MANUAL,normalization_collision_audit 自動追記(2026-07-17)・著者確認待ち,衝突キー'public health': [SJR:norm_title] Public Health | [SJR:norm_title] International Journal of Public Health | [SJR:norm_title] Journal of Public Health | [SJR:norm_title] Journal of Public Health (Germany) / ranks: SJR Q1 | SJR Q1 | SJR Q2 | SJR Q2 / データ1件。採否が変わる衝突のため要判断(normalization_collision_audit 自動検出)
